Thu 11/23/2017 23:22:55.60 ; Failed to Update Data 
Thu 11/23/2017 23:26:33.90 ; Failed to Update Data 
Thu 11/23/2017 23:26:59.41 ; Failed to Update Data 
Thu 11/23/2017 23:27:40.39 ; Failed to Update Data 
Thu 11/23/2017 23:28:19.70 ; Failed to Update Data 
Thu 11/23/2017 23:29:12.65 ; Failed to Update Data 
Thu 11/23/2017 23:32:30.75 ; Failed to Update Data 
Thu 11/23/2017 23:35:27.39 ; Failed to Update Data 
Thu 11/23/2017 23:36:24.58 ; Failed to Update Data 
Thu 11/23/2017 23:37:51.96 ; Failed to Update Data 
