Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171130,59,43,24.21,24,29.17%,27.12%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171129,26,25,42.17,13,38.46%,30.77%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171128,49,35,69.23,18,50.00%,28.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171127,52,40,42.78,22,50.00%,30.77%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171126,39,25,42.82,18,33.33%,28.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171125,28,20,98.84,10,30.00%,10.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171124,40,24,36.74,16,12.50%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171123,27,19,63.85,9,33.33%,25.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171122,40,28,102.11,16,43.75%,30.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171121,35,25,33.04,16,31.25%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171120,40,27,22.97,13,46.15%,15.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171119,44,27,68.46,13,23.08%,11.36%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171118,26,21,107.00,13,38.46%,42.31%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171117,40,23,46.09,14,26.67%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171116,62,37,54.83,17,29.41%,12.90%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171115,61,42,101.37,26,22.22%,16.39%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171114,54,42,75.98,22,19.05%,20.37%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171113,45,32,45.15,15,26.67%,13.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171112,49,39,38.26,26,57.69%,44.90%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171111,35,21,70.79,9,44.44%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171110,55,35,80.10,24,33.33%,25.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171109,59,46,25.15,20,40.00%,20.34%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171108,57,40,62.64,15,40.00%,26.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171107,60,36,42.80,22,23.81%,8.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171106,55,42,25.29,20,50.00%,25.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171105,43,25,123.74,13,46.15%,20.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171104,34,22,24.00,13,23.08%,17.65%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171103,53,37,34.59,15,33.33%,22.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171102,50,34,103.46,22,27.27%,22.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171101,65,41,38.39,21,23.81%,12.31%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171031,63,43,56.80,20,40.00%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171030,57,43,68.98,23,21.74%,22.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171029,27,24,36.06,11,54.55%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171028,22,17,113.27,10,40.00%,31.82%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171027,55,35,47.98,17,17.65%,23.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171026,64,43,46.23,18,50.00%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171025,71,48,33.34,28,21.43%,16.90%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171024,47,35,115.10,15,26.67%,17.02%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171023,69,44,55.65,24,16.67%,17.39%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171022,50,35,71.15,18,27.78%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171021,41,29,98.33,17,11.76%,19.51%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171020,47,38,79.28,17,17.65%,17.02%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171019,50,39,78.00,23,43.48%,26.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171018,58,40,55.04,19,31.58%,20.69%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171017,54,41,47.03,21,52.38%,27.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171016,54,34,56.09,19,26.32%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171015,36,27,28.17,10,10.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171014,20,17,24.64,8,12.50%,30.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171013,54,37,65.36,12,25.00%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171012,45,32,110.78,12,16.67%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171011,55,38,43.22,16,43.75%,25.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171010,71,38,41.87,16,18.75%,15.49%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171009,50,39,70.55,21,33.33%,24.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171008,65,45,85.64,23,39.13%,30.77%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171007,17,14,111.63,6,0.00%,5.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171006,42,30,47.57,19,36.84%,28.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171005,38,29,79.59,14,28.57%,23.68%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171004,50,35,85.83,21,42.86%,28.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171003,56,38,95.75,21,14.29%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171002,51,35,41.29,10,10.00%,11.76%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20171001,45,26,94.97,15,40.00%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20170930,32,22,95.96,13,15.38%,21.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20170929,30,18,37.48,10,30.00%,23.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20170928,49,32,89.29,18,61.11%,30.61%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20170927,48,38,79.70,19,52.63%,31.25%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20170926,42,24,54.06,13,30.77%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/data-science,20170925,56,46,38.90,23,43.48%,25.00%,0.00
