Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs,20171130,151,102,29.43,7,42.86%,11.26%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171129,156,116,37.58,17,58.82%,17.95%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171128,169,117,41.42,22,27.27%,14.20%,3.42
www.usfca.edu/arts-sciences/undergraduate-programs,20171127,148,109,21.27,13,30.77%,10.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171126,107,82,28.69,12,25.00%,13.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171125,50,45,18.63,5,20.00%,14.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171124,100,62,56.09,4,25.00%,9.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171123,91,57,28.99,7,14.29%,10.99%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171122,87,71,27.89,7,42.86%,13.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171121,137,110,36.10,17,35.29%,13.87%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171120,232,143,35.81,15,40.00%,11.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171119,87,64,51.55,13,38.46%,14.94%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171118,93,63,23.14,8,25.00%,9.68%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171117,131,92,54.65,8,37.50%,16.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171116,235,114,42.47,16,12.50%,11.06%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171115,155,114,20.76,14,35.71%,9.03%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171114,203,143,42.17,28,10.71%,11.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171113,226,153,38.45,15,33.33%,15.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171112,172,97,30.36,13,7.69%,7.56%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171111,98,70,38.53,9,22.22%,10.20%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171110,151,101,28.80,14,21.43%,12.58%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171109,170,105,43.53,20,30.00%,12.94%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171108,156,109,41.46,16,12.50%,8.97%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171107,212,140,45.25,24,37.50%,15.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171106,151,119,30.95,15,20.00%,11.26%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171105,125,90,43.92,8,12.50%,6.40%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171104,107,70,43.40,4,0.00%,9.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171103,113,84,35.56,10,40.00%,15.04%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171102,182,136,28.12,27,29.63%,18.68%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171101,224,150,60.47,12,16.67%,14.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171031,229,158,59.62,26,19.23%,11.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171030,255,153,46.07,24,29.17%,9.02%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171029,161,110,36.12,14,7.14%,6.83%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171028,106,73,40.64,5,0.00%,9.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171027,143,94,30.53,16,6.25%,8.39%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171026,182,131,48.00,17,47.06%,13.19%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171025,240,146,33.60,17,41.18%,12.92%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171024,221,157,41.79,21,14.29%,12.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171023,229,148,33.95,18,16.67%,14.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171022,164,111,58.79,14,28.57%,12.80%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171021,145,99,38.88,9,33.33%,8.97%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171020,164,110,32.07,13,30.77%,14.02%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171019,181,125,40.80,16,25.00%,12.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs,20171018,182,125,30.13,15,26.67%,9.89%,0.00
