Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/,20171130,5419,4526,121.45,4240,54.11%,50.25%,0.09
www.usfca.edu/,20171129,5725,4858,120.60,4586,54.85%,51.76%,0.08
www.usfca.edu/,20171128,6057,5070,122.86,4757,52.13%,48.94%,0.39
www.usfca.edu/,20171127,5873,4908,121.57,4602,54.33%,50.96%,0.08
www.usfca.edu/,20171126,3322,2839,94.52,2673,51.85%,49.07%,0.56
www.usfca.edu/,20171125,2471,2106,94.91,1975,50.03%,47.47%,0.24
www.usfca.edu/,20171124,2344,1980,109.47,1858,52.39%,49.40%,0.20
www.usfca.edu/,20171123,1863,1586,80.30,1482,51.11%,48.58%,0.00
www.usfca.edu/,20171122,3472,2918,126.67,2736,55.40%,52.30%,0.14
www.usfca.edu/,20171121,4969,4191,136.02,3919,59.29%,55.14%,0.00
www.usfca.edu/,20171120,5500,4593,131.29,4321,56.01%,52.09%,0.17
www.usfca.edu/,20171119,3170,2724,102.46,2581,53.08%,51.55%,0.15
www.usfca.edu/,20171118,2714,2357,101.62,2219,56.37%,53.02%,0.17
www.usfca.edu/,20171117,4603,3914,130.60,3661,56.78%,53.96%,0.20
www.usfca.edu/,20171116,5837,4930,142.15,4627,57.55%,54.21%,0.16
www.usfca.edu/,20171115,6232,5288,130.84,4917,56.68%,53.51%,0.53
www.usfca.edu/,20171114,6413,5304,139.92,4921,55.50%,51.63%,0.08
www.usfca.edu/,20171113,6557,5528,130.65,5165,56.78%,52.94%,0.07
www.usfca.edu/,20171112,3728,3142,110.67,2942,52.63%,49.38%,0.13
www.usfca.edu/,20171111,3033,2544,108.18,2375,54.10%,50.51%,0.31
www.usfca.edu/,20171110,4493,3797,127.65,3547,57.07%,53.64%,0.11
www.usfca.edu/,20171109,5526,4715,121.26,4423,56.39%,52.95%,0.08
www.usfca.edu/,20171108,5867,4985,133.16,4662,55.72%,52.43%,0.16
www.usfca.edu/,20171107,6034,4951,123.51,4584,54.86%,50.12%,0.00
www.usfca.edu/,20171106,6017,4973,129.44,4646,53.01%,50.06%,0.00
www.usfca.edu/,20171105,3665,3065,103.18,2873,52.43%,49.50%,0.13
www.usfca.edu/,20171104,2988,2498,105.36,2353,53.00%,50.70%,0.00
www.usfca.edu/,20171103,4607,3824,127.00,3600,55.87%,52.59%,0.10
www.usfca.edu/,20171102,5500,4681,120.55,4394,55.52%,52.24%,0.09
www.usfca.edu/,20171101,6239,5188,109.78,4825,51.86%,47.46%,0.15
www.usfca.edu/,20171031,5638,4635,124.94,4334,51.73%,47.52%,0.26
www.usfca.edu/,20171030,5849,4875,128.79,4570,51.57%,48.32%,0.00
www.usfca.edu/,20171029,4592,3309,70.62,3116,46.18%,39.66%,0.12
www.usfca.edu/,20171028,2939,2506,99.46,2350,50.87%,48.25%,0.16
www.usfca.edu/,20171027,4305,3621,118.90,3381,53.13%,49.57%,0.11
www.usfca.edu/,20171026,5439,4568,111.25,4281,53.80%,50.41%,0.02
www.usfca.edu/,20171025,5940,5042,118.45,4663,53.06%,49.81%,0.16
www.usfca.edu/,20171024,6058,5078,116.37,4781,52.17%,48.68%,0.18
www.usfca.edu/,20171023,6066,5075,117.04,4744,52.65%,49.90%,0.24
www.usfca.edu/,20171022,3804,3144,105.43,2959,47.77%,45.19%,0.13
www.usfca.edu/,20171021,3354,2674,95.67,2511,48.83%,44.04%,0.00
www.usfca.edu/,20171020,4639,3895,124.42,3669,56.00%,52.25%,0.00
www.usfca.edu/,20171019,5583,4705,129.21,4415,54.52%,51.48%,0.02
