Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170608,52,37,64.70,15,20.00%,15.38%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170607,60,43,32.76,13,23.08%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170606,50,37,42.65,16,31.25%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170605,90,66,85.42,25,24.00%,18.89%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170604,46,32,29.05,11,36.36%,17.39%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170603,25,18,127.79,5,20.00%,4.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170602,31,25,25.26,12,33.33%,12.90%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170601,49,33,101.27,10,30.00%,16.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170531,66,37,32.33,14,35.71%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170530,55,36,45.02,19,31.58%,14.55%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170529,35,27,41.46,9,66.67%,31.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170528,38,28,72.43,8,62.50%,26.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170527,38,28,77.09,9,11.11%,15.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170526,48,28,49.44,11,45.45%,14.58%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170525,39,32,27.27,11,18.18%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170524,56,42,71.38,18,22.22%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170523,57,43,49.75,18,22.22%,15.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170522,69,52,47.80,19,42.11%,26.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170521,35,22,29.06,6,33.33%,8.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170520,41,24,21.17,12,25.00%,12.20%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170519,45,36,29.10,14,35.71%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170518,46,33,92.46,13,30.77%,19.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170517,52,45,59.67,22,27.27%,17.31%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170516,52,40,87.21,12,41.67%,19.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170515,67,45,68.10,22,45.45%,26.87%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170514,50,35,43.27,16,43.75%,26.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170513,62,43,65.48,14,42.86%,25.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170512,44,34,35.39,9,44.44%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170511,44,37,25.16,10,40.00%,27.27%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170510,40,34,87.91,12,25.00%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170509,74,56,46.64,21,28.57%,21.62%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170508,79,57,33.67,20,55.00%,22.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170507,25,19,123.58,9,44.44%,24.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170506,30,22,45.88,9,22.22%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170505,54,38,43.23,14,35.71%,18.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170504,70,54,53.32,15,40.00%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170503,54,41,79.02,16,31.25%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170502,52,37,68.08,13,15.38%,7.69%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170501,56,38,37.47,8,25.00%,5.36%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170430,64,45,114.17,21,28.57%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170429,37,29,50.97,12,41.67%,21.62%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170428,54,45,71.31,16,43.75%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170427,59,46,50.77,13,46.15%,18.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170426,80,61,30.56,22,50.00%,22.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170425,75,54,66.61,20,55.00%,25.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170424,62,51,43.63,15,40.00%,25.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170423,60,44,36.65,22,36.36%,23.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170422,51,34,47.44,11,45.45%,19.61%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170421,62,46,85.83,16,31.25%,14.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170420,68,50,27.12,19,26.32%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170419,77,62,37.03,21,33.33%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170418,100,76,34.27,26,30.77%,17.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170417,79,61,74.84,22,36.36%,21.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170416,49,39,72.05,11,36.36%,18.37%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170415,39,32,41.59,12,25.00%,17.95%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170414,36,23,34.39,7,14.29%,13.89%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170413,81,58,77.42,26,19.23%,19.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170412,82,65,94.48,26,19.23%,15.85%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170411,67,50,70.16,21,23.81%,14.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170410,88,56,65.13,20,20.00%,14.77%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170409,64,43,63.11,12,33.33%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170408,50,42,57.78,16,43.75%,26.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170407,62,44,33.80,15,40.00%,17.74%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170406,63,45,67.90,18,44.44%,19.05%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170405,70,55,44.75,18,50.00%,24.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170404,88,53,47.96,13,15.38%,17.05%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170403,107,70,65.23,22,27.27%,14.95%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170402,65,44,53.59,17,35.29%,21.54%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170401,44,33,115.89,9,33.33%,20.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170331,38,29,88.61,6,33.33%,18.42%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170330,66,47,84.44,18,50.00%,21.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170329,71,58,55.33,18,33.33%,19.72%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170328,87,61,78.51,20,35.00%,14.94%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170327,75,56,29.39,15,40.00%,17.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170326,65,46,40.77,14,21.43%,13.85%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170325,45,33,25.11,9,22.22%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170324,43,35,48.45,13,30.77%,23.26%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170323,77,49,43.10,18,11.11%,12.99%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170322,63,44,33.15,18,16.67%,15.87%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170321,69,48,60.90,22,13.64%,11.59%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170320,54,40,33.20,15,33.33%,18.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170319,60,39,23.73,7,57.14%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170318,36,28,77.36,10,50.00%,30.56%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170317,51,39,46.24,16,37.50%,19.61%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170316,59,44,26.64,19,42.11%,25.42%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170315,73,57,91.26,20,50.00%,21.92%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170314,74,60,78.37,20,50.00%,22.97%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170313,92,66,59.47,29,27.59%,21.74%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170312,42,30,26.94,6,83.33%,23.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170311,40,34,81.72,8,12.50%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170310,44,34,103.44,12,58.33%,22.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170309,46,38,34.35,17,35.29%,19.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170308,57,44,31.11,12,41.67%,22.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170307,44,33,55.28,13,30.77%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170306,66,47,57.87,20,45.00%,19.70%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170305,34,32,48.41,11,54.55%,35.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170304,39,28,39.90,13,30.77%,20.51%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170303,48,35,45.02,10,20.00%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170302,66,47,44.53,16,37.50%,25.76%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170301,90,71,40.04,42,71.43%,44.44%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170228,62,47,53.18,14,28.57%,11.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170227,69,52,71.26,15,26.67%,15.94%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170226,35,26,24.13,4,75.00%,11.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170225,32,26,83.22,5,40.00%,15.63%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170224,63,43,37.23,13,46.15%,17.46%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170223,57,39,46.20,17,35.29%,19.30%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170222,64,52,47.32,21,14.29%,17.19%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170221,61,42,48.02,15,40.00%,18.03%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170220,45,36,69.88,14,21.43%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170219,42,31,25.43,7,42.86%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170218,37,24,69.82,5,20.00%,8.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170217,49,35,82.97,15,26.67%,22.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170216,63,41,68.51,13,30.77%,9.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170215,46,29,63.41,13,30.77%,15.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170214,45,33,33.86,9,22.22%,17.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170213,73,44,38.78,9,44.44%,8.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170212,55,41,99.51,19,36.84%,21.82%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170211,50,37,52.82,13,38.46%,22.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170210,49,41,70.86,13,46.15%,26.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170209,68,49,61.78,20,55.00%,27.94%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170208,48,34,28.94,12,41.67%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170207,58,43,39.00,15,33.33%,25.86%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170206,60,43,43.81,10,30.00%,21.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170205,45,30,75.65,13,38.46%,24.44%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170204,49,36,50.44,20,10.00%,16.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170203,51,34,75.29,9,11.11%,17.65%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170202,65,40,62.00,13,7.69%,7.69%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170201,63,50,57.64,13,15.38%,15.87%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170131,49,40,91.23,9,66.67%,28.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170130,54,42,35.67,16,43.75%,27.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170129,53,35,67.63,14,14.29%,13.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170128,53,37,81.89,13,23.08%,15.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170127,71,43,23.75,17,17.65%,11.27%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170126,74,48,32.37,18,16.67%,12.16%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170125,80,58,52.24,21,14.29%,15.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170124,59,46,68.98,14,21.43%,22.03%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170123,70,54,61.73,21,42.86%,25.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170122,55,41,42.46,15,33.33%,12.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170121,37,28,56.66,5,0.00%,5.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170120,70,46,18.78,15,6.67%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170119,54,45,35.74,12,58.33%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170118,75,45,28.37,18,38.89%,10.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170117,70,52,31.91,17,35.29%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/computer-science,20170116,52,36,53.72,14,7.14%,11.54%,0.00
