Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171130,44,37,36.57,14,42.86%,20.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171129,49,34,67.14,8,12.50%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171128,43,32,36.25,5,40.00%,16.28%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171127,25,24,56.94,7,71.43%,32.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171126,43,34,110.46,14,57.14%,34.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171125,33,24,88.96,8,50.00%,21.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171124,19,16,27.54,9,66.67%,31.58%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171123,7,7,187.33,1,0.00%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171122,23,18,21.41,7,28.57%,26.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171121,36,26,25.00,14,20.00%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171120,41,34,31.73,12,58.33%,26.83%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171119,22,15,29.72,2,50.00%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171118,14,9,21.82,1,100.00%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171117,30,23,17.50,8,62.50%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171116,71,49,65.50,24,41.67%,21.13%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171115,58,39,41.98,11,18.18%,18.97%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171114,70,55,63.40,21,23.81%,18.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171113,62,51,77.16,18,33.33%,19.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171112,32,29,51.91,8,37.50%,28.13%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171111,20,17,42.50,5,60.00%,30.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171110,52,39,93.61,12,33.33%,26.92%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171109,48,35,43.31,16,37.50%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171108,54,46,64.39,23,39.13%,24.07%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171107,65,47,45.19,11,27.27%,9.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171106,31,27,21.30,9,33.33%,25.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/media-studies,20171105,37,27,37.77,5,60.00%,16.22%,0.00
