Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171008,24,22,39.80,3,33.33%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171007,27,20,33.50,7,28.57%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171006,36,27,64.33,8,50.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171005,31,23,153.00,4,50.00%,16.13%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171004,37,33,30.23,5,40.00%,16.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171003,52,46,44.64,9,44.44%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171002,46,43,39.16,3,0.00%,17.39%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20171001,23,21,75.90,3,0.00%,13.04%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170930,33,28,80.67,5,60.00%,27.27%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170929,31,28,19.61,6,66.67%,25.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170928,46,38,37.81,9,33.33%,21.74%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170927,40,31,25.35,7,14.29%,22.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170926,52,45,50.12,7,28.57%,17.31%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170925,43,35,59.43,4,0.00%,6.98%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170924,31,24,60.89,0,0.00%,12.90%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170923,24,23,32.55,4,75.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170922,21,20,37.29,4,75.00%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170921,36,31,30.20,4,50.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170920,49,40,32.64,7,42.86%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170919,44,36,20.08,5,20.00%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170918,44,34,63.13,6,50.00%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170917,32,26,20.68,3,66.67%,31.25%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170916,22,18,35.53,4,50.00%,22.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170915,40,29,28.26,11,18.18%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170914,25,20,15.69,6,83.33%,36.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170913,50,33,27.42,9,55.56%,14.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170912,40,31,40.78,6,66.67%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170911,52,44,62.61,13,23.08%,15.38%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170910,25,21,48.42,3,50.00%,24.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170909,29,25,35.72,8,50.00%,37.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170908,30,21,28.44,2,50.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170907,45,37,39.58,3,33.33%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170906,40,34,44.00,5,20.00%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170905,45,38,70.57,9,44.44%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170904,26,20,40.22,2,0.00%,11.54%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170903,24,17,32.40,3,66.67%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170902,21,17,30.67,4,75.00%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170901,13,11,12.38,3,33.33%,38.46%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170831,56,37,51.06,14,7.14%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170830,63,50,50.39,15,33.33%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170829,27,24,52.41,6,33.33%,18.52%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170828,39,31,27.03,2,0.00%,15.38%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170827,25,18,31.29,3,33.33%,32.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170826,24,16,27.38,7,71.43%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170825,35,30,24.06,6,50.00%,11.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170824,40,30,22.31,8,12.50%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170823,48,38,34.61,6,16.67%,8.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170822,54,44,30.75,14,14.29%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170821,47,39,28.64,9,33.33%,17.02%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170820,28,21,48.32,7,28.57%,10.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170819,24,21,23.90,2,50.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170818,35,27,63.67,8,12.50%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170817,51,39,88.62,9,33.33%,11.76%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170816,34,30,39.06,3,66.67%,5.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170815,26,21,40.30,5,80.00%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170814,32,30,50.96,6,50.00%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170813,24,21,91.41,3,33.33%,29.17%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170812,18,16,28.06,3,33.33%,11.11%,0.00
