Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences,20171130,65,52,18.11,15,20.00%,12.31%,0.00
www.usfca.edu/arts-sciences,20171129,55,46,34.22,12,66.67%,16.36%,0.00
www.usfca.edu/arts-sciences,20171128,67,50,69.88,14,42.86%,22.39%,0.00
www.usfca.edu/arts-sciences,20171127,65,44,33.25,10,40.00%,12.31%,0.00
www.usfca.edu/arts-sciences,20171126,26,23,15.77,6,0.00%,0.00%,0.00
www.usfca.edu/arts-sciences,20171125,19,19,69.06,1,100.00%,15.79%,0.00
www.usfca.edu/arts-sciences,20171124,22,19,14.41,3,66.67%,22.73%,0.00
www.usfca.edu/arts-sciences,20171123,31,20,71.88,4,75.00%,19.35%,0.00
www.usfca.edu/arts-sciences,20171122,36,28,77.86,9,55.56%,22.22%,0.00
www.usfca.edu/arts-sciences,20171121,44,37,44.81,9,55.56%,15.91%,0.00
www.usfca.edu/arts-sciences,20171120,47,40,27.02,5,20.00%,8.51%,0.00
www.usfca.edu/arts-sciences,20171119,22,21,38.06,5,40.00%,22.73%,0.00
www.usfca.edu/arts-sciences,20171118,21,18,107.06,7,28.57%,19.05%,0.00
www.usfca.edu/arts-sciences,20171117,45,36,54.37,14,21.43%,22.22%,0.00
www.usfca.edu/arts-sciences,20171116,42,37,25.22,12,25.00%,11.90%,0.00
www.usfca.edu/arts-sciences,20171115,59,48,54.02,15,53.33%,22.03%,0.00
www.usfca.edu/arts-sciences,20171114,64,50,59.47,11,18.18%,14.06%,0.00
www.usfca.edu/arts-sciences,20171113,55,40,37.56,7,0.00%,5.45%,0.00
www.usfca.edu/arts-sciences,20171112,34,28,10.93,2,0.00%,11.76%,0.00
www.usfca.edu/arts-sciences,20171111,30,28,23.96,8,25.00%,23.33%,0.00
www.usfca.edu/arts-sciences,20171110,34,31,38.34,10,40.00%,14.71%,0.00
www.usfca.edu/arts-sciences,20171109,51,41,58.27,12,16.67%,13.73%,0.00
www.usfca.edu/arts-sciences,20171108,45,41,109.29,21,33.33%,24.44%,0.00
www.usfca.edu/arts-sciences,20171107,51,45,41.02,21,33.33%,15.69%,0.00
www.usfca.edu/arts-sciences,20171106,55,51,72.10,16,18.75%,12.73%,0.00
www.usfca.edu/arts-sciences,20171105,22,21,31.16,8,37.50%,13.64%,0.00
www.usfca.edu/arts-sciences,20171104,21,15,158.50,6,33.33%,14.29%,0.00
