Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171130,30,22,54.82,2,100.00%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171129,30,24,46.52,6,16.67%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171128,29,24,63.35,1,100.00%,41.38%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171127,22,19,30.93,3,100.00%,31.82%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171126,21,16,21.06,4,50.00%,23.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171125,16,12,99.67,3,33.33%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171124,12,9,64.00,1,0.00%,0.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171123,6,6,19.40,1,0.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171122,19,15,34.86,1,100.00%,26.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171121,17,15,258.55,2,100.00%,35.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171120,24,21,54.78,2,50.00%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171119,25,18,53.56,7,71.43%,28.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171118,7,5,17.33,2,100.00%,57.14%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171117,22,18,74.94,2,100.00%,27.27%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171116,24,19,197.35,3,66.67%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171115,51,31,90.73,7,85.71%,21.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171114,37,29,98.04,5,80.00%,27.03%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171113,31,20,35.96,3,0.00%,9.68%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171112,11,10,19.00,3,33.33%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171111,16,12,27.00,2,100.00%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171110,27,22,29.50,7,71.43%,25.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171109,35,31,89.77,2,0.00%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171108,28,18,62.73,5,20.00%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171107,29,21,31.84,2,50.00%,13.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171106,38,30,90.11,5,60.00%,28.95%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171105,17,14,90.27,4,50.00%,35.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171104,18,15,110.29,4,25.00%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171103,24,22,174.18,3,66.67%,29.17%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171102,26,24,37.14,4,50.00%,19.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171101,36,25,42.97,4,100.00%,19.44%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171031,33,26,23.50,4,50.00%,21.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171030,48,36,59.97,9,55.56%,27.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171029,21,16,88.56,1,0.00%,23.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171028,14,11,105.82,7,42.86%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171027,27,18,74.79,0,0.00%,29.63%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171026,31,24,51.80,3,66.67%,35.48%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171025,36,26,102.32,6,66.67%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171024,48,29,101.70,2,0.00%,8.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171023,32,24,53.80,2,50.00%,21.88%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171022,39,31,92.61,8,25.00%,15.38%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171021,21,19,22.82,4,50.00%,19.05%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171020,34,24,30.81,4,75.00%,20.59%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171019,44,30,79.95,4,25.00%,15.91%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171018,35,27,64.21,6,66.67%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171017,31,24,187.57,3,66.67%,25.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171016,35,29,91.19,4,25.00%,25.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171015,24,18,46.32,3,66.67%,20.83%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171014,22,18,119.07,4,75.00%,31.82%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171013,27,22,211.47,6,66.67%,29.63%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171012,34,27,68.17,8,75.00%,29.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171011,35,30,114.00,5,60.00%,28.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171010,32,25,167.71,3,66.67%,34.38%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171009,34,22,45.00,6,50.00%,23.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171008,33,26,65.40,8,75.00%,24.24%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171007,24,22,48.14,9,88.89%,41.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171006,35,28,123.52,12,66.67%,28.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171005,47,31,43.25,2,50.00%,23.40%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171004,32,21,65.43,6,50.00%,28.13%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171003,44,34,56.09,8,50.00%,20.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171002,32,21,63.36,4,50.00%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20171001,27,18,115.40,1,100.00%,25.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170930,21,20,120.18,5,100.00%,47.62%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170929,35,24,51.63,2,0.00%,8.57%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170928,36,24,39.70,3,33.33%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170927,32,26,115.12,0,0.00%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170926,37,27,91.54,8,62.50%,29.73%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170925,53,41,58.89,9,66.67%,32.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170924,30,25,117.91,6,66.67%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170923,24,17,21.87,5,60.00%,37.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170922,38,26,33.61,4,75.00%,18.42%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170921,30,23,91.91,1,0.00%,23.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170920,41,31,95.39,4,100.00%,31.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170919,29,22,105.05,6,50.00%,27.59%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170918,35,26,76.81,3,66.67%,25.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170917,20,15,42.94,0,0.00%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170916,23,18,107.19,2,0.00%,30.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170915,29,25,65.64,3,66.67%,13.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170914,32,30,40.58,3,33.33%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170913,30,24,68.15,1,0.00%,13.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170912,46,34,118.71,3,0.00%,17.39%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170911,37,28,42.83,3,100.00%,21.62%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170910,42,28,40.09,4,75.00%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170909,23,16,108.56,5,60.00%,30.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170908,19,16,28.07,4,75.00%,26.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170907,34,27,30.39,8,75.00%,32.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170906,34,28,46.69,8,50.00%,14.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170905,23,17,47.61,2,50.00%,21.74%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170904,36,27,90.27,5,80.00%,27.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170903,31,24,26.95,5,60.00%,29.03%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170902,17,14,48.25,2,100.00%,29.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170901,32,21,58.43,6,66.67%,28.13%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170831,39,33,57.40,14,71.43%,48.72%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170830,27,22,100.65,4,50.00%,25.93%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170829,38,30,44.54,8,62.50%,26.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170828,29,26,41.96,4,50.00%,10.34%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170827,28,19,39.63,6,50.00%,32.14%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170826,17,14,45.71,1,0.00%,17.65%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170825,42,30,60.21,4,50.00%,21.43%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170824,27,19,64.17,4,75.00%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170823,48,32,69.81,4,50.00%,10.42%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170822,40,27,103.00,3,33.33%,27.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170821,30,21,53.33,5,20.00%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170820,27,20,51.39,2,50.00%,14.81%,5.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170819,15,12,41.60,1,100.00%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170818,33,28,24.57,3,0.00%,9.09%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170817,53,28,27.85,2,0.00%,11.32%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170816,13,11,21.50,2,0.00%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170815,25,19,53.19,4,50.00%,16.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170814,36,29,55.75,2,50.00%,22.22%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170813,13,12,71.11,2,100.00%,30.77%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170812,15,13,25.00,3,66.67%,53.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170811,33,26,55.64,3,100.00%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170810,20,18,77.00,4,75.00%,35.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170809,24,21,55.00,4,50.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170808,26,15,20.05,3,0.00%,19.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170807,24,18,29.18,2,100.00%,29.17%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170806,12,7,37.80,0,0.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170805,14,13,51.33,3,33.33%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170804,32,14,49.67,1,0.00%,6.25%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170803,22,17,38.53,1,0.00%,13.64%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170802,13,13,157.20,2,100.00%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170801,15,12,43.45,0,0.00%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170731,21,17,24.38,3,33.33%,23.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170730,8,7,48.83,3,33.33%,25.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170729,17,12,52.64,1,0.00%,17.65%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170728,20,14,160.47,2,0.00%,15.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170727,17,10,56.62,3,33.33%,23.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170726,30,23,34.95,2,100.00%,26.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170725,16,13,33.69,2,100.00%,18.75%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170724,24,16,34.81,1,0.00%,12.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170723,9,8,104.40,1,100.00%,44.44%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170722,11,10,51.56,0,0.00%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170721,9,7,27.50,1,0.00%,11.11%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170720,15,14,40.79,3,0.00%,6.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170719,11,10,49.50,1,100.00%,27.27%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170718,34,22,122.76,3,33.33%,14.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170717,35,24,86.38,5,40.00%,17.14%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170716,22,20,46.77,10,70.00%,40.91%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170715,17,15,43.45,4,25.00%,35.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170714,17,9,27.80,1,0.00%,11.76%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170713,24,19,75.25,1,100.00%,33.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170712,25,19,41.11,6,50.00%,28.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/dual-degree-teacher-preparation,20170711,26,24,128.83,4,75.00%,30.77%,0.00
